ABBV,112.4148941040039,96,111.20389556884766,139,-1.0772580847123865,43
ABMD,298.1300048828125,96,319.8800048828125,139,7.295475008813482,43
AOS,67.24171447753906,96,71.93513488769531,139,6.9799237670003285,43
ABT,108.92598724365234,96,120.56757354736328,139,10.687611467473157,43
MMM,199.96380615234375,96,198.42813110351562,139,-0.7679765045371065,43
ABBV,116.71910095214844,147,104.04584503173828,166,-10.85791084494888,19
ABMD,351.80999755859375,147,347.3800048828125,166,-1.2592003372625695,19
AOS,70.97931671142578,147,64.1989974975586,166,-9.552528156101193,19
ABT,124.91539001464844,147,123.95252227783203,166,-0.7708159392557584,19
MMM,193.1084442138672,147,179.0726776123047,166,-7.2683339450541675,19
ABBV,108.2071533203125,185,117.65907287597656,212,8.735022838725543,27
ABMD,351.3699951171875,185,328.17999267578125,212,-6.599881254422995,27
AOS,65.4136734008789,185,82.44999694824219,212,26.043979280843107,27
ABT,117.07704162597656,185,124.04248046875,212,5.949448966284757,27
MMM,180.47129821777344,185,179.4600067138672,212,-0.5603614058817994,27
ABBV,131.72312927246094,233,133.4947509765625,243,1.344958712935733,10
ABMD,352.2099914550781,233,319.2799987792969,243,-9.34953393563261,10
AOS,82.7699966430664,233,83.1500015258789,243,0.45910945780415563,10
ABT,138.67088317871094,233,135.08352661132812,243,-2.586957323088248,10
MMM,174.97000122070312,233,179.9499969482422,243,2.8461997444107068,10
ABMD,298.1300048828125,96,319.8800048828125,139,7.295475008813482,43
ABBV,112.41490173339844,96,111.20388793945312,139,-1.077271585236391,43
MMM,199.96380615234375,96,198.42813110351562,139,-0.7679765045371065,43
AOS,67.24171447753906,96,71.93513488769531,139,6.9799237670003285,43
ABT,108.92598724365234,96,120.56757354736328,139,10.687611467473157,43
ABMD,351.80999755859375,147,347.3800048828125,166,-1.2592003372625695,19
ABBV,116.71910858154297,147,104.04585266113281,166,-10.857910135216887,19
MMM,193.1084442138672,147,179.0726776123047,166,-7.2683339450541675,19
AOS,70.97931671142578,147,64.1989974975586,166,-9.552528156101193,19
ABT,124.91539001464844,147,123.95252227783203,166,-0.7708159392557584,19
ABMD,351.3699951171875,185,328.17999267578125,212,-6.599881254422995,27
ABBV,108.2071533203125,185,117.65907287597656,212,8.735022838725543,27
MMM,180.47129821777344,185,179.4600067138672,212,-0.5603614058817994,27
AOS,65.4136734008789,185,82.44999694824219,212,26.043979280843107,27
ABT,117.07704162597656,185,124.04248046875,212,5.949448966284757,27
ABMD,352.2099914550781,233,319.2799987792969,243,-9.34953393563261,10
ABBV,131.72312927246094,233,133.4947509765625,243,1.344958712935733,10
AOS,82.7699966430664,233,83.1500015258789,243,0.45910945780415563,10
MMM,174.97000122070312,233,179.9499969482422,243,2.8461997444107068,10
ABT,138.67088317871094,233,135.08352661132812,243,-2.586957323088248,10
